0;18
100;18
200;18
300;15
400;10
500;10
600;7
700;7
800;7
900;7
1000;7
1100;7
1200;8
1300;7
1400;8
1500;8
1600;9
1700;7
1800;7
1900;8
2000;8
2100;8
2200;8
2300;8
2400;8
2500;10
2600;10
2700;10
2800;10
2900;10
3000;10
3100;10
3200;8
3300;8
3400;6
3500;6
3600;6
3700;8
3800;8
3900;8
4000;10
4100;10
4200;10
4300;10
4400;10
4500;10
4600;10
4700;10
4800;8
4900;8
5000;5
5100;8
5200;8
5300;8
5400;9
5500;9
5600;9
5700;9
5800;9
5900;6
6000;6
6100;5
6200;5
6300;6
6400;6
6500;6
6600;6
6700;6
6800;8
6900;10
7000;10
7100;10
7200;10
7300;10
7400;10
7500;10
7600;9
7700;9
7800;9
7900;9
8000;7
8100;7
8200;7
8300;7
8400;7
8500;7
8600;7
8700;7
8800;7
8900;7
9000;7
9100;7
9200;7
9300;7
9400;7
9500;7
9600;7
9700;7
9800;7
9900;7
10000;7
